Station,Year,Month,Day,date,station,year,month,Mean Wind Speed (km/h),Max Wind Speed (km/h),StationType,StationName,geometry
Paya Lebar,2020,2,13,2020-02-13,S06,2020,2,14.8,37.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,14,2020-02-14,S06,2020,2,12.2,31.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,15,2020-02-15,S06,2020,2,9,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,16,2020-02-16,S06,2020,2,10.1,40.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,17,2020-02-17,S06,2020,2,14.4,37.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,18,2020-02-18,S06,2020,2,13.7,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,19,2020-02-19,S06,2020,2,19.4,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,20,2020-02-20,S06,2020,2,21.6,51.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,21,2020-02-21,S06,2020,2,18,51.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,22,2020-02-22,S06,2020,2,19.4,48.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,23,2020-02-23,S06,2020,2,21.6,48.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,24,2020-02-24,S06,2020,2,17.6,44.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,25,2020-02-25,S06,2020,2,17.3,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,26,2020-02-26,S06,2020,2,20.2,44.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,27,2020-02-27,S06,2020,2,17.3,37.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,28,2020-02-28,S06,2020,2,18,48.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,2,29,2020-02-29,S06,2020,2,18.4,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,1,2020-03-01,S06,2020,3,16.2,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,2,2020-03-02,S06,2020,3,14.4,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,3,2020-03-03,S06,2020,3,16.2,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,4,2020-03-04,S06,2020,3,13.7,31.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,5,2020-03-05,S06,2020,3,9.7,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,6,2020-03-06,S06,2020,3,10.1,27.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,7,2020-03-07,S06,2020,3,10.1,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,8,2020-03-08,S06,2020,3,7.6,20.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,9,2020-03-09,S06,2020,3,6.5,25.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,10,2020-03-10,S06,2020,3,9,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,11,2020-03-11,S06,2020,3,9.7,33.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,12,2020-03-12,S06,2020,3,14.8,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,13,2020-03-13,S06,2020,3,11.5,29.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,14,2020-03-14,S06,2020,3,10.8,29.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,15,2020-03-15,S06,2020,3,13.3,33.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,16,2020-03-16,S06,2020,3,16.2,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,17,2020-03-17,S06,2020,3,16.6,40.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,18,2020-03-18,S06,2020,3,15.5,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,19,2020-03-19,S06,2020,3,10.8,29.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,20,2020-03-20,S06,2020,3,8.3,27.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,21,2020-03-21,S06,2020,3,6.8,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,22,2020-03-22,S06,2020,3,6.8,27.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,23,2020-03-23,S06,2020,3,5.8,33.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,24,2020-03-24,S06,2020,3,12.2,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,25,2020-03-25,S06,2020,3,10.1,29.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,26,2020-03-26,S06,2020,3,11.9,33.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,27,2020-03-27,S06,2020,3,10.8,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,28,2020-03-28,S06,2020,3,10.1,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,29,2020-03-29,S06,2020,3,12.2,31.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,30,2020-03-30,S06,2020,3,9.4,27.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,3,31,2020-03-31,S06,2020,3,9.7,27.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,1,2020-04-01,S06,2020,4,6.8,25.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,2,2020-04-02,S06,2020,4,6.8,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,3,2020-04-03,S06,2020,4,7.8,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,4,2020-04-04,S06,2020,4,9.6,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,5,2020-04-05,S06,2020,4,7.1,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,6,2020-04-06,S06,2020,4,5.9,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,7,2020-04-07,S06,2020,4,5.7,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,8,2020-04-08,S06,2020,4,6.7,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,9,2020-04-09,S06,2020,4,7.9,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,10,2020-04-10,S06,2020,4,6.6,22.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,11,2020-04-11,S06,2020,4,6.9,25.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,12,2020-04-12,S06,2020,4,7.2,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,13,2020-04-13,S06,2020,4,7.6,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,14,2020-04-14,S06,2020,4,10.3,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,15,2020-04-15,S06,2020,4,9.5,48.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,16,2020-04-16,S06,2020,4,10.7,40.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,17,2020-04-17,S06,2020,4,8.5,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,18,2020-04-18,S06,2020,4,9,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,19,2020-04-19,S06,2020,4,7.9,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,20,2020-04-20,S06,2020,4,9.5,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,21,2020-04-21,S06,2020,4,6.7,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,22,2020-04-22,S06,2020,4,7.6,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,23,2020-04-23,S06,2020,4,5.9,25.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,24,2020-04-24,S06,2020,4,4.1,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,25,2020-04-25,S06,2020,4,3.6,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,26,2020-04-26,S06,2020,4,3.5,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,27,2020-04-27,S06,2020,4,7.3,37,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,28,2020-04-28,S06,2020,4,5.5,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,29,2020-04-29,S06,2020,4,7.7,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,4,30,2020-04-30,S06,2020,4,3.9,42.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
