Station,Year,Month,Day,date,station,year,month,Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
Admiralty,2020,3,20,2020-03-20,S104,2020,3,28.1,32.8,26
Admiralty,2020,3,21,2020-03-21,S104,2020,3,27.5,32,24.1
Admiralty,2020,3,22,2020-03-22,S104,2020,3,27.3,33.8,23.6
Admiralty,2020,3,23,2020-03-23,S104,2020,3,26.5,30.4,24
Admiralty,2020,3,24,2020-03-24,S104,2020,3,28.2,33.6,24.7
Admiralty,2020,3,25,2020-03-25,S104,2020,3,28.4,32,25.8
Admiralty,2020,3,26,2020-03-26,S104,2020,3,29,33.6,26
Admiralty,2020,3,27,2020-03-27,S104,2020,3,28.1,34.6,23.8
Admiralty,2020,3,28,2020-03-28,S104,2020,3,28.8,34.9,25.8
Admiralty,2020,3,29,2020-03-29,S104,2020,3,28.9,33.9,26.3
Admiralty,2020,3,30,2020-03-30,S104,2020,3,28.9,34.8,25.9
Admiralty,2020,3,31,2020-03-31,S104,2020,3,29.4,35,26.6
Admiralty,2020,4,1,2020-04-01,S104,2020,4,29.2,35.7,26
Admiralty,2020,4,2,2020-04-02,S104,2020,4,28.5,35.2,25.3
Admiralty,2020,4,3,2020-04-03,S104,2020,4,27.9,32.7,24.4
Admiralty,2020,4,4,2020-04-04,S104,2020,4,29.2,33.8,26.4
Admiralty,2020,4,5,2020-04-05,S104,2020,4,28.2,33.8,25.3
Admiralty,2020,4,6,2020-04-06,S104,2020,4,27.7,30.8,25.9
Admiralty,2020,4,7,2020-04-07,S104,2020,4,27.4,31.8,23.1
Admiralty,2020,4,8,2020-04-08,S104,2020,4,27.9,35.1,23.3
Admiralty,2020,4,9,2020-04-09,S104,2020,4,28.7,34.4,25.3
Admiralty,2020,4,10,2020-04-10,S104,2020,4,28.8,35.1,25.4
Admiralty,2020,4,11,2020-04-11,S104,2020,4,28.7,33.4,26.8
Admiralty,2020,4,12,2020-04-12,S104,2020,4,28.7,33,26.6
Admiralty,2020,4,13,2020-04-13,S104,2020,4,28.2,32.7,22.4
Admiralty,2020,4,14,2020-04-14,S104,2020,4,29.2,33.7,26.3
Admiralty,2020,4,15,2020-04-15,S104,2020,4,29.3,33,26.2
Admiralty,2020,4,16,2020-04-16,S104,2020,4,29.5,34.4,26.4
Admiralty,2020,4,17,2020-04-17,S104,2020,4,29.5,34.3,26.6
Admiralty,2020,4,18,2020-04-18,S104,2020,4,29.3,34.4,26.2
Admiralty,2020,4,19,2020-04-19,S104,2020,4,30.1,34.7,27.6
